instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
221578501,865541,BANKEX24819FUT,BANKEX,0,2024-08-19,0.0,0.05,15,FUT,BFO-FUT,BFO
288270597,1126057,BANKEX24AUGFUT,BANKEX,0,2024-08-26,0.0,0.05,15,FUT,BFO-FUT,BFO
226771461,885826,BANKEX24902FUT,BANKEX,0,2024-09-02,0.0,0.05,15,FUT,BFO-FUT,BFO
282146821,1102136,BANKEX24909FUT,BANKEX,0,2024-09-09,0.0,0.05,15,FUT,BFO-FUT,BFO
283263493,1106498,BANKEX24916FUT,BANKEX,0,2024-09-16,0.0,0.05,15,FUT,BFO-FUT,BFO
284074757,1109667,BANKEX24923FUT,BANKEX,0,2024-09-23,0.0,0.05,15,FUT,BFO-FUT,BFO
216496389,845689,BANKEX24SEPFUT,BANKEX,0,2024-09-30,0.0,0.05,15,FUT,BFO-FUT,BFO
283279621,1106561,BANKEX24OCTFUT,BANKEX,0,2024-10-28,0.0,0.05,15,FUT,BFO-FUT,BFO
222103813,867593,SENSEX24823FUT,SENSEX,0,2024-08-23,0.0,0.05,10,FUT,BFO-FUT,BFO
297253381,1161146,SENSEX24AUGFUT,SENSEX,0,2024-08-30,0.0,0.05,10,FUT,BFO-FUT,BFO
281995525,1101545,SENSEX24906FUT,SENSEX,0,2024-09-06,0.0,0.05,10,FUT,BFO-FUT,BFO
282881797,1105007,SENSEX24913FUT,SENSEX,0,2024-09-13,0.0,0.05,10,FUT,BFO-FUT,BFO
283698949,1108199,SENSEX24920FUT,SENSEX,0,2024-09-20,0.0,0.05,10,FUT,BFO-FUT,BFO
220097029,859754,SENSEX24SEPFUT,SENSEX,0,2024-09-27,0.0,0.05,10,FUT,BFO-FUT,BFO
287171845,1121765,SENSEX24O04FUT,SENSEX,0,2024-10-04,0.0,0.05,10,FUT,BFO-FUT,BFO
282905093,1105098,SENSEX24OCTFUT,SENSEX,0,2024-10-25,0.0,0.05,10,FUT,BFO-FUT,BFO
221510149,865274,BANKEX2481957600PE,BANKEX,0,2024-08-19,57600.0,0.05,15,PE,BFO-OPT,BFO
221655045,865840,BANKEX2481957600CE,BANKEX,0,2024-08-19,57600.0,0.05,15,CE,BFO-OPT,BFO
221606149,865649,BANKEX2481957700PE,BANKEX,0,2024-08-19,57700.0,0.05,15,PE,BFO-OPT,BFO
221618181,865696,BANKEX2481957700CE,BANKEX,0,2024-08-19,57700.0,0.05,15,CE,BFO-OPT,BFO
221410821,864886,BANKEX2481957500PE,BANKEX,0,2024-08-19,57500.0,0.05,15,PE,BFO-OPT,BFO
221558789,865464,BANKEX2481957500CE,BANKEX,0,2024-08-19,57500.0,0.05,15,CE,BFO-OPT,BFO
221416965,864910,BANKEX2481957800CE,BANKEX,0,2024-08-19,57800.0,0.05,15,CE,BFO-OPT,BFO
221571333,865513,BANKEX2481957800PE,BANKEX,0,2024-08-19,57800.0,0.05,15,PE,BFO-OPT,BFO
221445125,865020,BANKEX2481957400PE,BANKEX,0,2024-08-19,57400.0,0.05,15,PE,BFO-OPT,BFO
221596933,865613,BANKEX2481957400CE,BANKEX,0,2024-08-19,57400.0,0.05,15,CE,BFO-OPT,BFO
221514757,865292,BANKEX2481957900CE,BANKEX,0,2024-08-19,57900.0,0.05,15,CE,BFO-OPT,BFO
221663237,865872,BANKEX2481957900PE,BANKEX,0,2024-08-19,57900.0,0.05,15,PE,BFO-OPT,BFO
221500677,865237,BANKEX2481957300CE,BANKEX,0,2024-08-19,57300.0,0.05,15,CE,BFO-OPT,BFO
221648133,865813,BANKEX2481957300PE,BANKEX,0,2024-08-19,57300.0,0.05,15,PE,BFO-OPT,BFO
221403909,864859,BANKEX2481958000PE,BANKEX,0,2024-08-19,58000.0,0.05,15,PE,BFO-OPT,BFO
221419781,864921,BANKEX2481958000CE,BANKEX,0,2024-08-19,58000.0,0.05,15,CE,BFO-OPT,BFO
221398277,864837,BANKEX2481957200CE,BANKEX,0,2024-08-19,57200.0,0.05,15,CE,BFO-OPT,BFO
221682437,865947,BANKEX2481957200PE,BANKEX,0,2024-08-19,57200.0,0.05,15,PE,BFO-OPT,BFO
221518853,865308,BANKEX2481958100CE,BANKEX,0,2024-08-19,58100.0,0.05,15,CE,BFO-OPT,BFO
221666565,865885,BANKEX2481958100PE,BANKEX,0,2024-08-19,58100.0,0.05,15,PE,BFO-OPT,BFO
221435141,864981,BANKEX2481957100CE,BANKEX,0,2024-08-19,57100.0,0.05,15,CE,BFO-OPT,BFO
221590277,865587,BANKEX2481957100PE,BANKEX,0,2024-08-19,57100.0,0.05,15,PE,BFO-OPT,BFO
221465861,865101,BANKEX2481958200PE,BANKEX,0,2024-08-19,58200.0,0.05,15,PE,BFO-OPT,BFO
221613317,865677,BANKEX2481958200CE,BANKEX,0,2024-08-19,58200.0,0.05,15,CE,BFO-OPT,BFO
221496581,865221,BANKEX2481957000PE,BANKEX,0,2024-08-19,57000.0,0.05,15,PE,BFO-OPT,BFO
221637125,865770,BANKEX2481957000CE,BANKEX,0,2024-08-19,57000.0,0.05,15,CE,BFO-OPT,BFO
221430533,864963,BANKEX2481958300PE,BANKEX,0,2024-08-19,58300.0,0.05,15,PE,BFO-OPT,BFO
221580805,865550,BANKEX2481958300CE,BANKEX,0,2024-08-19,58300.0,0.05,15,CE,BFO-OPT,BFO
221588229,865579,BANKEX2481956900PE,BANKEX,0,2024-08-19,56900.0,0.05,15,PE,BFO-OPT,BFO
221602565,865635,BANKEX2481956900CE,BANKEX,0,2024-08-19,56900.0,0.05,15,CE,BFO-OPT,BFO
221671685,865905,BANKEX2481958400CE,BANKEX,0,2024-08-19,58400.0,0.05,15,CE,BFO-OPT,BFO
227083525,887045,BANKEX2481964600PE,BANKEX,0,2024-08-19,64600.0,0.05,15,PE,BFO-OPT,BFO
227274501,887791,BANKEX2481964600CE,BANKEX,0,2024-08-19,64600.0,0.05,15,CE,BFO-OPT,BFO
227127045,887215,BANKEX2481964500PE,BANKEX,0,2024-08-19,64500.0,0.05,15,PE,BFO-OPT,BFO
227405317,888302,BANKEX2481964500CE,BANKEX,0,2024-08-19,64500.0,0.05,15,CE,BFO-OPT,BFO
222009861,867226,BANKEX2481964400CE,BANKEX,0,2024-08-19,64400.0,0.05,15,CE,BFO-OPT,BFO
222059525,867420,BANKEX2481964400PE,BANKEX,0,2024-08-19,64400.0,0.05,15,PE,BFO-OPT,BFO
221830405,866525,BANKEX2481964300CE,BANKEX,0,2024-08-19,64300.0,0.05,15,CE,BFO-OPT,BFO
221966341,867056,BANKEX2481964300PE,BANKEX,0,2024-08-19,64300.0,0.05,15,PE,BFO-OPT,BFO
221847301,866591,BANKEX2481964200CE,BANKEX,0,2024-08-19,64200.0,0.05,15,CE,BFO-OPT,BFO
221922565,866885,BANKEX2481964200PE,BANKEX,0,2024-08-19,64200.0,0.05,15,PE,BFO-OPT,BFO
221874181,866696,BANKEX2481964100PE,BANKEX,0,2024-08-19,64100.0,0.05,15,PE,BFO-OPT,BFO
221945349,866974,BANKEX2481964100CE,BANKEX,0,2024-08-19,64100.0,0.05,15,CE,BFO-OPT,BFO
221893893,866773,BANKEX2481964000PE,BANKEX,0,2024-08-19,64000.0,0.05,15,PE,BFO-OPT,BFO
221960197,867032,BANKEX2481964000CE,BANKEX,0,2024-08-19,64000.0,0.05,15,CE,BFO-OPT,BFO
221500165,865235,BANKEX2481963900PE,BANKEX,0,2024-08-19,63900.0,0.05,15,PE,BFO-OPT,BFO
221643013,865793,BANKEX2481963900CE,BANKEX,0,2024-08-19,63900.0,0.05,15,CE,BFO-OPT,BFO
221397765,864835,BANKEX2481963800PE,BANKEX,0,2024-08-19,63800.0,0.05,15,PE,BFO-OPT,BFO
221549573,865428,BANKEX2481963800CE,BANKEX,0,2024-08-19,63800.0,0.05,15,CE,BFO-OPT,BFO
221434629,864979,BANKEX2481963700PE,BANKEX,0,2024-08-19,63700.0,0.05,15,PE,BFO-OPT,BFO
221447685,865030,BANKEX2481963700CE,BANKEX,0,2024-08-19,63700.0,0.05,15,CE,BFO-OPT,BFO
221489925,865195,BANKEX2481963600CE,BANKEX,0,2024-08-19,63600.0,0.05,15,CE,BFO-OPT,BFO
221636613,865768,BANKEX2481963600PE,BANKEX,0,2024-08-19,63600.0,0.05,15,PE,BFO-OPT,BFO
221671941,865906,BANKEX2481963500PE,BANKEX,0,2024-08-19,63500.0,0.05,15,PE,BFO-OPT,BFO
221685765,865960,BANKEX2481963500CE,BANKEX,0,2024-08-19,63500.0,0.05,15,CE,BFO-OPT,BFO
221424901,864941,BANKEX2481963400CE,BANKEX,0,2024-08-19,63400.0,0.05,15,CE,BFO-OPT,BFO
221581317,865552,BANKEX2481963400PE,BANKEX,0,2024-08-19,63400.0,0.05,15,PE,BFO-OPT,BFO
221484293,865173,BANKEX2481963300PE,BANKEX,0,2024-08-19,63300.0,0.05,15,PE,BFO-OPT,BFO
221625093,865723,BANKEX2481963300CE,BANKEX,0,2024-08-19,63300.0,0.05,15,CE,BFO-OPT,BFO
221519365,865310,BANKEX2481963200PE,BANKEX,0,2024-08-19,63200.0,0.05,15,PE,BFO-OPT,BFO
221660677,865862,BANKEX2481963200CE,BANKEX,0,2024-08-19,63200.0,0.05,15,CE,BFO-OPT,BFO
221420549,864924,BANKEX2481963100PE,BANKEX,0,2024-08-19,63100.0,0.05,15,PE,BFO-OPT,BFO
221568517,865502,BANKEX2481963100CE,BANKEX,0,2024-08-19,63100.0,0.05,15,CE,BFO-OPT,BFO
221455109,865059,BANKEX2481963000PE,BANKEX,0,2024-08-19,63000.0,0.05,15,PE,BFO-OPT,BFO
221471493,865123,BANKEX2481963000CE,BANKEX,0,2024-08-19,63000.0,0.05,15,CE,BFO-OPT,BFO
