,instrument_token,last_price,last_traded_quantity,average_traded_price,volume_traded,total_buy_quantity,total_sell_quantity,ohlc,change,last_trade_time,oi,exchange_timestamp
0,22948098,0.0,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 1746.95}",-100.0,2024-05-30 12:57:12,0,2024-08-16 17:25:15
1,14964482,158.0,0,0.0,0,0,0,"{'open': 100.7, 'high': 231.25, 'low': 60.55, 'close': 79.65}",98.36785938480853,2024-08-16 15:29:59,363135,2024-08-16 17:24:12
2,283896325,3303.25,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 3303.25}",0.0,2024-02-08 00:00:00,0,2024-08-16 18:58:06
3,18238466,0.0,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 1133.9}",-100.0,2024-04-25 11:16:42,0,2024-08-16 17:24:44
4,9868802,27.5,0,0.0,0,0,0,"{'open': 35.0, 'high': 50.6, 'low': 27.5, 'close': 81.1}",-66.0912453760789,2024-08-16 15:28:12,4350,2024-08-16 17:25:01
5,10994946,2434.3,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 2434.3}",0.0,2024-08-05 14:25:12,240,2024-08-16 17:24:14
6,10558978,0.0,0,0.0,0,0,0,"{'open': 14.85, 'high': 67.1, 'low': 0.05, 'close': 445.85}",-100.0,2024-04-30 15:29:54,0,2024-08-16 17:24:56
7,9977090,0.0,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 1331.3}",-100.0,2024-07-29 09:15:07,0,2024-08-16 17:24:31
8,283249669,3124.35,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 3124.35}",0.0,2024-02-08 00:00:00,0,2024-08-16 18:58:06
9,222096901,516.0,0,0.0,0,0,0,"{'open': 1690.05, 'high': 1690.05, 'low': 450.0, 'close': 1842.0}",-71.9869706840391,2024-08-16 15:29:58,24420,2024-08-16 18:58:12
10,11273474,101.4,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 101.4}",0.0,2024-08-14 11:01:54,25,2024-08-16 17:24:33
11,14993154,0.0,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 3597.55}",-100.0,2023-11-30 15:27:47,0,2024-08-16 17:24:12
12,283843589,1212.75,0,0.0,0,0,0,"{'open': 0.0, 'high': 0.0, 'low': 0.0, 'close': 1212.75}",0.0,2024-02-08 00:00:00,0,2024-08-16 18:58:06
